stable_key,identity_synthetic,status
synthetic:2e64dd02b7d0b2afe8975b7670cce5bf18b1baaae1c33518c239ae4cfbf442b1,true,excluída
synthetic:a7c490d6b058af8fbfa2d9ef1e8499a099cdee5c2a333c989c7ca40f861531c4,true,excluída
synthetic:8928057a77c15b33d3d236df1757c8cdd0174ae176539ab9e91d9cc08d16e663,true,excluída
synthetic:f61cc356aec6639d83148a1224124fdf9a15930faa3f7aba43b23f6f5c439d39,true,excluída
synthetic:366e2237b519409ec3a0c099595db06e9de1c15f1d75228fce4b96f42ef9c055,true,excluída
synthetic:d552855df228f729b73a4c8c6c44641413edfcfb47c9dcfdf0f350706d281e70,true,excluída
synthetic:f6e4c310975ee9635882100a7c6c8a25ded624f4a6278a2fe1a96bbc7b4d50a8,true,excluída
synthetic:05d61b74a3e3b2615812ef5dfd7cdbfacf69ca17d8037b3c12c8c5d3a66ed2e1,true,excluída
synthetic:ad5d37cbd27c9187a2bbaf1d6db34778d97b2f9263cba013e8234d4f5260abb8,true,excluída
synthetic:3c0a4720fbad0bf3285062ed2f9a391b3f7728d4341bcb3a66cd70937c3a1892,true,excluída
synthetic:2743d96a1c079794b98a0c075bd83393196b9a509e89c151d6ff1f51c458c155,true,excluída
synthetic:f59ee91a619e5411b4b0cfc5293e67676a539a74ee0538a3eefeea31bc6409cb,true,excluída
synthetic:13301bd39648246804b219adb349b45feac3af7ffff065850174c3cdb1a36cae,true,excluída
synthetic:abb877743b490ba01483aa64a19836b5fa70a3181ab2bbc56b7e8f446634c5c5,true,excluída
synthetic:d01c1a87a108b50134ca4dd9ee341e46aa28a43c8a5a3a2e491beceb55a2d0f3,true,excluída
synthetic:7d2e14ab17a673e79567d94c50875658b5c2471de4f3c884d93b844f95e66ca3,true,excluída
synthetic:1e70533fd853682c26abbd4703726eca55cecf4756bf3252870aef6698dbe98f,true,excluída
synthetic:9039c37e69da6042f071a636c1cb9b4c4a9898a3dae89d21be85ec482b34dd7a,true,excluída
synthetic:3f387c3e500dfc9d27ea2f59a78538f696ff4e0c5f4c9c91696df37171c6803e,true,excluída
synthetic:ccefe01358d7787a55e4d552680251371fa9d75d9a3cadb8ac714b58f7b51ed3,true,excluída
synthetic:464791f026ee30cdf2ade5241246746b4037e85861db5215ce2d35dd5165a9b6,true,excluída
synthetic:b9200f7b152ad6117f5c63ee45c054605e4edb6a0a8ca9c23f73b5313ab4fc0b,true,excluída
synthetic:f2c74179ca97991a25cac3350f8ed85d1799049d627d66dde815e37c2bf4d7fa,true,excluída
synthetic:8054ce1a59512a81dca893ae535e2be9b307c26291ddbf59ca3ef3a816b12e6b,true,excluída
synthetic:f93838ddbe9a15886b8b2644b870552db7840c6cf75ea55fbb52ed3e2909ddf3,true,excluída
synthetic:2ca81692c7f0e1b1bf75915f9e0562c0a3ede7e640958c3d3ca61adedd3aa947,true,excluída
synthetic:f44634ccf03e9836c3f06e7fff909eb92784a80d9f04aa617b217930eb81f894,true,excluída
synthetic:9c2e88c784170f836d4e2a4269f6ce0bab23b7e69031723823310fc9d5190c01,true,excluída
synthetic:55e06f895dbdabd9ac679cc6542cf0ac3908cf518cae80aff64de2ea96b39d65,true,excluída
synthetic:008709e537a64d5c3fac3529f51438e30c416758af58bd0140e02e2acebefbf5,true,excluída
synthetic:1923e839f37fae0a43fda1d7325602b34b89446805a3e3130a27559463e1ccbb,true,excluída
synthetic:ebdee0c7d19ecea2cbb4fd591d8df1290c60a16e0137ad5fb9c85ec674b74a7b,true,excluída
synthetic:3cdbbb8184deed2b1db9aec6b6960d6d4928600fcf09cc710b4101b3d7aada6c,true,excluída
synthetic:d9b106fcf41a3bc02c2271a2ddd42b9413ffd717c625d767339372def8538c4d,true,excluída
synthetic:be6ad39774b9c5ae4376de859fe8cafdfec740d09292fc3fddc25b84ba2c482c,true,excluída
synthetic:2b4a4edf329513f81258eaab28e661f3efe6f9a9c5072f425fb33829ac4de1ab,true,excluída
synthetic:b36e941eca2002e060cfb7cab8107323c891aed5e8143b7cae4b37ea26683d90,true,excluída
synthetic:693f79c31b2f9037b473c2ee35ba9e9f447fe57a88266bb7bf2a9e14cad04c91,true,excluída
synthetic:f5159a51736a3fa7c84e7f8701ed26209953d7587cca3145f2d84f07313feee3,true,excluída
synthetic:db2f2ac0a2ea1675a455220746aae4124b02994207d96928de782a84702821b7,true,excluída
synthetic:23038abead896f1a19c5a7ca63cc51396aa06379d85a2126e478abcb25710e4b,true,excluída
synthetic:4c6032fb92f0f00e1e28e972e0f37a97ae7109a53bfa9f46d5da4a407f961470,true,excluída
synthetic:3974eba8e13da357b4139f6f06c30c5055922f9059a4c8e21f905213c05797b3,true,excluída
synthetic:0ed1dd655dc641c905b2afd1c007fef54900650c6625b130352f663796ea8a5c,true,excluída
synthetic:8afbfb07c40c88247fc723e7331f258fb9a38edd4a60eeda165ebc10ad4ec6c3,true,excluída
synthetic:72fd398368da1bcc6ce038adc1651d43ded1e139f7f0547f7f16f4a6d1637ebf,true,excluída
synthetic:b43a3e923b5da7facc33a4a5eb114bb1606023de2bff811837a88a640c3aaa40,true,excluída
synthetic:52bbe2f3b258a2e3b6f236739a15ec746ba2802983e63654c5ea42c08494ad70,true,excluída
synthetic:f830a590e55078fc385a0ee22f001a5a6a76566674d987baa8dae44abf09c689,true,excluída
synthetic:16d7d89ac57f1d2f178b597a2a103de9457d49d215c9cc64fda2012e32b328f7,true,excluída
synthetic:4e78eb13229138d9b83396ac85adfa47a02c726d049aa4134022a6b31a63f19f,true,excluída
synthetic:04207657d5a33fbb8bb898fefa8c38a09a45cce79b4ef50d244dab9e2b41475d,true,excluída
synthetic:a899e92870b30bbd919f5d25363cd387c5531aa0ad8a5cd9453cd4f4c403f25a,true,excluída
synthetic:f0561d9e3b1fe3feba6611e706a39b7458c3675532003a26fdd7b328c47cb09e,true,excluída
synthetic:1fc3d93ea74c1e866049bbbe22e47bebf88a5d1827892bd8cf0561ced927aad9,true,excluída
synthetic:4546d90c55b18a0287dd9934e8a6e7e9f06e1b9d3099a1ca411eef66dd5cd8c9,true,excluída
synthetic:3e55ff904c016f6e62939321ea5d4c8d85aefdae6e27b381a1bd007899b69a16,true,excluída
synthetic:35dd3b60cc3790ace5129e0ec2c556799142cbe0576f205cb10bc6ca50e06488,true,excluída
synthetic:db91d5ee11fd84642287a834976736457460b789baa3d8cd989878cca3ee64ec,true,excluída
synthetic:03577e86f46fced0cdb3bb19f590c9b8c018e8d4b46f205073d8e0c06586a871,true,excluída
synthetic:1d6a2d267faf469acadb54df64850d85d959113f60292bf6c0bb619c9edeba8d,true,excluída
synthetic:80b62f3a3d44937013395975371791e43239488fdc07f33b305d9804692b7467,true,excluída
synthetic:5cea9effda430a4c4a38e7285fc4028c6e1b64d0acee4cfb011a52275fb98b0e,true,excluída
synthetic:ec3ee1a8ca7a92ce3579825246940caf1279d4171489ca4ba690ee88a7a53efe,true,excluída
synthetic:ed6b8258beb7d09de819b966fa8e226f1d7571b78d6d5a99a1937cfc60ece62e,true,excluída
synthetic:65a5bf2dddc75677b8f596a3a70b4cc4b2d6e9d661ba6fef5da0a8b31f18821a,true,excluída
synthetic:65b029ac8d4ae7f15f485cba203964b9677bffcd1084a171b0354ca6c14d600b,true,excluída
synthetic:352fafeaf5fbacd28c72d3b0f551bc7970b9fd437bf489d0bebde09c1d768e06,true,excluída
synthetic:7b9a4ea8c51d6009b78de5cf9089d74b61ce1e7a7263c357766eeaeb3cfc8631,true,excluída
synthetic:1de3094902421b8efa55512648a5e71b44b33e349338458330091e3d049c02c1,true,excluída
synthetic:427853850c179cf5d643d4d8e95c20df763a9b21d1baeb3300813dc008e9f7f3,true,excluída
synthetic:711475a4ab7f76dd63c7bf56537b25c50e359248724b252053365601fb6799a6,true,excluída
synthetic:cc11fb8f2dadccbf0baef1e78ced9f83b45e7cf3a540ce2b21ca193018f033e7,true,excluída
synthetic:aab0e82c3d46af850ccbef8c2ebc0c49ba8c8d47fbe48743813fbf315b98d878,true,excluída
synthetic:7c75f8ee1b2016f0f93f34c8c34f546fd55b61691ae8ea8a1605cbd4358d3e98,true,excluída
synthetic:7e82025e6b5e1303503152b9f88fc13e63a008dfb3c7ac76610b43111c27e595,true,excluída
synthetic:0b2e348d3fb999bb6b66363eb77943e96ff1f8d7d8f2ed54a94f780a8f721cfd,true,excluída
