fonte,campo_original,tipos_observados,registros_fonte,preenchidos,cobertura_percentual,grupo_semantico,campo_nacional,regra_harmonizacao,incluir_formato_nacional,observacao
bahia_google,bairro,,550,0,0.000000,localizacao_endereco,localizacao.bairro_declarado,normalizar_sem_substituir,sim,
bahia_google,endereco,string,550,550,100.000000,localizacao_endereco,localizacao.endereco_declarado,copiar_declarado,sim,
bahia_google,fonte,string,550,550,100.000000,proveniencia_qualidade,proveniencia.fonte,identificador,sim,
bahia_google,fonte_detalhe,,550,0,0.000000,proveniencia_qualidade,proveniencia.descricao_fonte,copiar_declarado,sim,
bahia_google,fontes,list,550,550,100.000000,proveniencia_qualidade,,preservar_original,nao,Contêiner original; mapear pelos campos filhos.
bahia_google,fontes[],object,550,550,100.000000,proveniencia_qualidade,,preservar_original,nao,Item estrutural do contêiner original.
bahia_google,fontes[].fonte,string,550,550,100.000000,proveniencia_qualidade,proveniencia.fontes_relacionadas[].fonte,identificador,sim,
bahia_google,fontes[].id,,550,0,0.000000,proveniencia_qualidade,proveniencia.fontes_relacionadas[].id,identificador,sim,Pode estar ausente no agregado; não inventar ID nativo.
bahia_google,geo_status,string,550,550,100.000000,proveniencia_qualidade,qualidade.status_geografico,normalizar_sem_substituir,sim,
bahia_google,lat,float,550,550,100.000000,localizacao_endereco,localizacao.latitude,coordenada,sim,
bahia_google,lng,float,550,550,100.000000,localizacao_endereco,localizacao.longitude,coordenada,sim,
bahia_google,metodo_classificacao,string,550,550,100.000000,proveniencia_qualidade,qualidade.metodo_classificacao,preservar_original,revisar,"Classificação derivada, não tratar como declaração."
bahia_google,nacao_categoria,string,550,550,100.000000,identidade_religiosa,identidade_religiosa.categoria_normalizada,preservar_original,revisar,Campo derivado no agregado Bahia.
bahia_google,nacao_componentes,,550,0,0.000000,identidade_religiosa,identidade_religiosa.componentes,preservar_original,revisar,Campo derivado no agregado Bahia.
bahia_google,nacao_original,,550,0,0.000000,identidade_religiosa,identidade_religiosa.nacao_declarada,preservar_original,revisar,Destino candidato; origem e semântica precisam ser validadas por fonte.
bahia_google,nacao_primaria,,550,0,0.000000,identidade_religiosa,identidade_religiosa.nacao_normalizada,preservar_original,revisar,Campo derivado no agregado Bahia.
bahia_google,nome,string,550,550,100.000000,identificacao_nome,nome.declarado,copiar_declarado,sim,Não eleger nome preferido nesta etapa.
bahia_google,rating,float|int,550,433,78.727273,proveniencia_qualidade,qualidade.avaliacao_fonte,preservar_original,revisar,"Métrica específica de plataforma, manter proveniência."
bahia_google,reviews,int,550,433,78.727273,proveniencia_qualidade,qualidade.quantidade_avaliacoes_fonte,preservar_original,revisar,Métrica específica de plataforma; confirmar semântica e data de coleta.
