nome,municipio,endereco,fonte,latitude,longitude,motivo,status
"Casa Rural - Materiais de Construção e Agro veterinária","João Dourado","Av. Joaquim Augusto, 83 - Centro, João Dourado - BA, 44920-000, Brazil","Google Places",-11.3474178,-41.6631013,"Comércio de materiais de construção e produtos agropecuários; não é terreiro","excluída"
"Casas Freire","João Dourado","186 - Praça João Dourado, 122, João Dourado - BA, 44920-000, Brazil","Google Places",-11.3478562,-41.6610124,"Estabelecimento comercial; não é terreiro","excluída"
"Rua Bahia, 457 Santo Antonio De Jesus","Santo Antônio de Jesus","R. Bahia, 467 - Santa Rita, Santo Antônio de Jesus - BA, 44430-400, Brazil","Google Places",-12.9772291,-39.2614421,"Entrada identificada apenas por endereço, sem identificação de terreiro; nome indica nº 457 e endereço cadastrado nº 467","excluída"
"Remanso BA","Remanso","Remanso, BA, 47200-000, Brazil","Google Places",-9.61961,-42.0841857,"Marcador genérico do município; não é terreiro","excluída"
"Sítio Arqueológico Pilão Arcado Velho","Pilão Arcado/Sento Sé","Unnamed Road - Pilão Arcado, Sento Sé - BA, 47350-000, Brazil","Google Places",-10.1527868,-42.4267142,"Sítio arqueológico; não é terreiro","excluída"
"CRAS - Itaguaçu da Bahia","Itaguaçu da Bahia","R. 20 de Outro, SN - Centro, Itaguaçu da Bahia - BA, 47440-000, Brazil","Google Places",-11.0077648,-42.3939351,"Centro de Referência de Assistência Social; não é terreiro","excluída"
"Casa São Paulo","Santo Antônio de Jesus","R. Monsenhor Antônio Oliveira, 4 - Centro, Santo Antônio de Jesus - BA, 44571-060, Brazil","Google Places",-12.9700232,-39.2620765,"Estabelecimento indicado como entrada incorreta; não é terreiro","excluída"
"Casa das Espumas","Santo Antônio de Jesus","R. Landulfo Alves, 118 - Centro, Santo Antônio de Jesus - BA, 44430-088, Brazil","Google Places",-12.9674074,-39.2632786,"Estabelecimento comercial; não é terreiro","excluída"
"R. Castro Alves, 169 - Cs A","Santo Antônio de Jesus","R. Castro Alves, 169 - Cs A - Centro, Santo Antônio de Jesus - BA, 44430-546, Brazil","Google Places",-12.9688089,-39.2586163,"Entrada identificada apenas por endereço, sem identificação de terreiro","excluída"
"Casa do Campo","Elísio Medrado","R. Quinze de Novembro, 195 - Elísio Medrado, BA, 45305-000, Brazil","Google Places",-12.9465335,-39.5229315,"Estabelecimento comercial; não é terreiro","excluída"
"Casa São Luiz Materiais De Construção","Amargosa","Av. Lomanto Jr, 417 - Centro, Amargosa - BA, 45300-000, Brazil","Google Places",-13.0312019,-39.6042004,"Loja de materiais de construção; não é terreiro","excluída"
"Laticínios Santana Lauro de Freitas","Lauro de Freitas","Av. Amarílio Thiago dos Santos, 205 - Centro, Lauro de Freitas - BA, 42703-750, Brazil","Google Places",-12.8965478,-38.3214385,"Comércio de laticínios; falso positivo confirmado por revisão humana","excluída"
"Condomínio Spazio Sunrise","Lauro de Freitas","R. Manoel Silvestre Leite, 190 - Centro, Lauro de Freitas - BA, 42703-050, Brazil","Google Places",-12.8976991,-38.3233386,"Condomínio residencial; falso positivo confirmado por revisão humana","excluída"
"CASA DAS RESISTÊNCIAS","Lauro de Freitas","Estrada do Côco - Av. Santos Dumont, 3862 - Loja 19 - Recreio Ipitanga, Lauro de Freitas - BA, 42700-170, Brazil","Google Places",-12.8891686,-38.3224036,"Estabelecimento comercial em loja; falso positivo confirmado por revisão humana","excluída"
