source,source_record_id,source_url,name,leadership,religion,nation_line_raw,regent_raw,foundation_raw,address_raw,city,state,postcode,photo_urls
mapeando_axe_2010,3922,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abaça Oyá Togum,Darlingleison Ramos da Silva,Candomblé,"Umbanda / Linha Branca, Nagô","Iansã, Oxum",1992,"Rua Padre Antonio Prado, 42, Guabiraba / Córrego do Genipado",Recife,PE,52091-200,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/845_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/845_2.jpg
mapeando_axe_2010,3921,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Afro-Brasileiro Axé Omin Kaiá,Eliana Maria Gentil Leão,"Candomblé, Umbanda","Angola, Umbanda / Linha Branca",Mikaiá,1990,"Cidade Nova VI We 85, 692, Coqueiro",Ananindeua,PA,67140-260,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/304_1.jpg
mapeando_axe_2010,3920,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Afro-Brasileiro Konzenzala de Kafungê,Kátia Andrade de Hadad,Candomblé,Angola,Kavungo,1988,"Rua Cacique, 103 , Próximo à Avenida Júlio César, Sacramenta",Belém,PA,66123-180,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1612_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1612_2.jpg
mapeando_axe_2010,3919,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Afro-Brasileiro Leko Saponan,Orlando Machado da Silva,Nagô,"Tambor de Mina, Jurema, Umbanda / Linha Branca, Nagô, Pena e Maracá","Obaluaê, Oxum",1972,"Passagem Bugarim Ramo II, 87, Guamá",Belém,PA,66065-170,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/801_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/801_2.jpg
mapeando_axe_2010,3918,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Afro-Brasileiro Ngunzo de Kavungo,Sérgio Quemel,Candomblé,Angola,Kavungo,1994,"Rua Gaspar VIana, 1146, Reduto",Belém,PA,66053-090,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/822_2.jpg
mapeando_axe_2010,3917,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Afro-Brasileiro Ogun-Já,João Batista de Almeida Carvalho,Candomblé,"Jêje Mahin, Nagô","Ogun-Já, Oxum",1981,"Rua Ignácio Gabriel, 32, Bairro Novo",Marituba,PA,67200-000,
mapeando_axe_2010,3916,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Afro-Brasileiro Omin Kaiadeuáci,Mara Graça Melo Faria,Candomblé,Angola,Mikaiá,1990,"Avenida Pedro Miranda, 410 - Passagem Coelhinho, Pedreira",Belém,PA,66085-005,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1258_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1258_2.jpg
mapeando_axe_2010,3915,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Axé Enssabas D'Un Zamby,José Cleydson Félix Ferreira,Candomblé,Alaketu,Ossain,2006,"Rua Treze , 73, Cajueiro Seco",Jaboatão dos Guararapes,PE,54330-140,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/589_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/589_2.jpg
mapeando_axe_2010,3914,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Axé Odara da Oxum Apará,Clementina Mendonça Monteiro,Umbanda,Umbanda,"Oxum, Cabocla Mariana",1975,"Travessa Bom Jardim, Passagem Doutor Gonçalves, 50, Jurunas",Belém,PA,66030-210,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/3861_2.jpg
mapeando_axe_2010,3913,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Axé Ogum Bará Oya Lemim,Jeferson Itanage Pereira de Freitas,Candomblé,Angola,"Ogum, Exu",2007,"Rua Dr. Moacir Sales, 125, Lagoa Encantada",Recife,PE,51340-520,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/374_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/374_2.jpg
mapeando_axe_2010,3912,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Axé Oxum Omitaladê,Silvia Maria da Conceição Alves,Candomblé,Angola,Oxum,2000,"Rua Manoel Aleixo da Silva, Qd16, Lote 15, Macaxeira",Recife,PE,52090-675,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/3122_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/3122_2.jpg
