source_record_id,name,city,state_raw,reasons,source_url
3871,Agrupamento de Umbanda  Estrela Azul Choupana do Caboclo Cobra Coral,Belo Horizonte,MG,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3713,Casa de Nossa Senhora do Perpétuo Socorro,Belém,PA,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3706,Casa de Oração Vó Catarina,Belo Horizonte,MG,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3695,Casa de Oyá,Belém,PA,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3666,Casa Espírita Pai Xangô,Eldorado do Sul,CE,uf_incompativel_com_municipio,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3663,Casa Nagô Oxum Mirim,Olinda,PE,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3367,Centro Cabocla Rosa Maria,Olinda,PE,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3362,Centro Cacique Cobral Coral,São Leopoldo,RS,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3326,Centro de Quimbanda Rainha das Rainhas e Exu Tiriri,VIamão,RS,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3247,Centro de Umbanda José Esplandim,Igarassu,PE,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3225,Centro de Umbanda Nossa Senhora do Carmo,Paulista,PE,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3216,Centro de Umbanda Ogum Beira Mar e Iemanjá,Glorinha,RS,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3157,Centro de Umbanda Rainha das Flores,Igarassu,PE,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
3117,Centro Espírita Afro Umbandista Rei dos Índios,São Lourenço da Mata,PE,cep_ausente_ou_invalido,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm
