fonte,id_fonte,nome,nacao_original,nacao_componentes,nacao_categoria,metodo_classificacao,status_revisao,decisao_revisor,observacoes
ceao,4,Rei de Macambira,Keto Angola,"[""Ketu"", ""Angola""]",Ketu,declarado+tokenizacao-v2,pendente,,
ceao,5,Ylê Axé Ojuire,Keto,"[""Ketu""]",Ketu,declarado+tokenizacao-v2,pendente,,
ceao,6,Obá Tony,Keto,"[""Ketu""]",Ketu,declarado+tokenizacao-v2,pendente,,
ceao,7,Não informado,Keto,"[""Ketu""]",Ketu,declarado+tokenizacao-v2,pendente,,
ceao,8,Terreiro Ogum da Cariri,Angola,"[""Angola""]",Angola,declarado+tokenizacao-v2,pendente,,
ceao,10,Ilê Axé Ejê Onan,Keto,"[""Ketu""]",Ketu,declarado+tokenizacao-v2,pendente,,
ceao,12,Não informado,Ijexá,"[""Ijexá""]",Outras declarações,declarado+tokenizacao-v2,pendente,,
ceao,13,K te Espero,Keto,"[""Ketu""]",Ketu,declarado+tokenizacao-v2,pendente,,
ceao,14,Ilê Axé Orocilê Ômin Fan,Keto,"[""Ketu""]",Ketu,declarado+tokenizacao-v2,pendente,,
ceao,15,Onzo de Tingóngo,Angola Jêje Keto,"[""Angola"", ""Jeje"", ""Ketu""]",Ketu,declarado+tokenizacao-v2,pendente,,
ceao,16,Ilê Omin Ode Oxê,Keto,"[""Ketu""]",Ketu,declarado+tokenizacao-v2,pendente,,
ceao,17,Ylê Axé Oba Oya,Keto,"[""Ketu""]",Ketu,declarado+tokenizacao-v2,pendente,,
ceao,18,Unzo Tumba Junçara,Angola,"[""Angola""]",Angola,declarado+tokenizacao-v2,pendente,,
ceao,20,Ilê Asé Abotô Demi,Keto,"[""Ketu""]",Ketu,declarado+tokenizacao-v2,pendente,,
ceao,21,Ilê Axé Ian Alá Oci,Keto,"[""Ketu""]",Ketu,declarado+tokenizacao-v2,pendente,,
ceao,22,Tualandê Nigunci Dinicosi,Angola,"[""Angola""]",Angola,declarado+tokenizacao-v2,pendente,,
ceao,24,Centro Cigana Maguidala,Umbanda,"[""Umbanda""]",Umbanda,declarado+tokenizacao-v2,pendente,,
